,home_elo,away_elo,spread,h_drives,h_d_explosiveness,h_d_successrate,h_d_stuffrate,h_d_totalPPA,h_o_explosiveness,h_o_successrate,h_o_stuffrate,h_o_totalPPA,home_conference,away_conference,neutral_site
0,1446,1442,2.0,13.461538461538462,1.331315003846485,0.3876268282744496,0.20901078303924278,9.847822743851781,1.2499800714622775,0.43522303557975117,0.18852591198111007,13.564157449786777,0,2,0
1,1449,1665,2.5,12.600000000000001,1.290190341027988,0.41360266086150493,0.17486050989067334,12.324513661006776,1.2393606105375188,0.4275192793007818,0.22350132222581715,13.328905701156181,10,10,0
2,1542,1480,-10.0,13.75,1.2390189115697647,0.44800633853094673,0.20226513492120893,15.622855660055501,1.2272729811261713,0.39216788891584575,0.21277757379970877,8.339410883966083,0,0,0
3,1684,1522,-24.0,11.303030303030303,1.4418825818780494,0.3778624210855397,0.1855515099464659,9.415842441128394,1.0961520364064241,0.47678672085500673,0.13006557667607965,17.938537642258222,7,7,0
4,1251,1641,16.0,11.925925925925926,1.238476313561576,0.4371218348172246,0.19782693183524783,13.253949162328107,1.422500985615556,0.36213447743010835,0.23854306315039303,5.755227179643776,4,7,0
5,1585,1202,-30.0,11.820512820512821,1.237357068691863,0.40815640943863113,0.22093277318940763,6.990014922735688,1.130036562242359,0.4657849787537232,0.15766638386887183,12.961968857454908,9,6,0
6,1831,1750,-2.5,12.225,1.2013609517639785,0.4168443273333457,0.21960987782310876,10.426777227809216,1.26304957746858,0.4678882347838278,0.17790599625850545,17.59467060470239,2,2,0
7,1667,1833,7.5,13.86111111111111,1.3018907207701145,0.40580710776842105,0.20686867375257578,12.159779099403632,1.2452907355097134,0.39111960329287593,0.1998991304970974,9.507497067301015,0,0,0
8,2065,1605,-17.0,12.2,1.2990692595160063,0.3307138187262883,0.23045999627056493,0.3094772180137953,1.219295499133762,0.46564799741482577,0.16828156268824146,16.764851998575708,3,3,0
9,1549,1405,-7.0,12.347826086956522,1.2116629926535942,0.39112097104495513,0.2122682625397448,6.227948381412394,1.1787729332118426,0.45691898682064885,0.17265122217473217,15.703053389611378,9,9,0
10,1324,1264,-7.5,13.0,1.160625338558551,0.5045672151692319,0.17165286555984868,21.976367725961506,1.2299418741419268,0.3667867413340335,0.2069759145672977,4.210336517730133,2,0,0
11,1660,1505,1.5,13.628571428571428,1.3631229755863985,0.4361596263033354,0.18687681018171776,16.607840670138636,1.339642947020736,0.42848626572229465,0.20513751558726454,16.230406207796623,1,2,0
12,1377,1336,-6.0,12.40625,1.1209669540112255,0.46547617101932004,0.1401893089585611,15.949792454135752,1.2529620051320451,0.43480393482141977,0.21123166400174143,12.063023475583519,6,6,0
13,1497,1255,-14.0,12.842105263157896,1.3074305372180455,0.41318835328362447,0.2031262141857236,11.488092610772624,1.4077450695447258,0.45840229921015974,0.20291460961974497,20.970049077702328,0,1,0
14,2156,1252,-46.0,11.384615384615385,1.1291375331459723,0.3625956713948564,0.20091104598725804,2.159237905811855,1.2627911561626861,0.4769578270161862,0.20229717860189858,18.80876971929601,9,6,0
15,1815,1483,-26.5,13.08695652173913,1.2155887556004397,0.364187207427753,0.22557165216751454,3.9255341267658346,1.3176276484088807,0.4365155646308647,0.22086266328133006,14.74743836857267,3,6,0
16,1194,1682,21.5,12.864864864864865,1.2920971064378155,0.4118650667467985,0.17984712432695837,10.731394898292697,1.1550500361001732,0.4296812932981096,0.1999396436920982,12.909884097167483,8,8,0
17,1037,909,-9.0,12.82857142857143,1.2526657797102714,0.38404916660940897,0.2312438945023905,7.91740472348699,1.2442627303021396,0.40280364841508515,0.21109145260471832,9.88414808209605,1,5,0
18,1575,1784,-1.0,12.81081081081081,1.2200915392352913,0.4433121788246931,0.16074560998467444,14.544653031278283,1.357346672229672,0.4514772909387318,0.20158570802240736,18.959036549621644,0,5,0
19,1519,1752,6.5,13.31578947368421,1.2935727522867146,0.4510625764386937,0.17274482136114133,20.773375492870194,1.2934489473958068,0.4632040652402802,0.18408146659337818,20.787505965721444,2,2,0
20,1870,1559,-11.0,12.565217391304348,1.162342629377317,0.4303151384426652,0.17736454842921026,13.293673325065582,1.2664856859518128,0.4155577671481703,0.22012286066142553,10.37702789095425,9,9,0
21,1817,1349,-17.0,12.542857142857143,1.141920145824042,0.3890515662203029,0.18927467417285546,4.26544511868507,1.2833552232695322,0.45734463084815796,0.16244263386453192,17.199844947153792,1,3,0
22,1589,1357,-25.5,12.763157894736842,1.308884661583682,0.39639655269691537,0.24538304138430214,8.924102569242514,1.3093941656018153,0.4201751788630064,0.22170952410930048,13.680885453223373,0,4,0
23,1498,1283,-11.5,13.289473684210526,1.2857471710987929,0.4190945500254754,0.20013246089076436,14.145449450857962,1.43400772788345,0.45466877896931956,0.2270730811543553,21.43081822977938,1,4,0
24,1705,1018,-31.0,12.694444444444445,1.2790517285175058,0.3972495898648328,0.1918535905319112,9.249707509234389,1.200488837666458,0.47734871755316555,0.19225614643563127,18.60670074389738,4,4,0
25,1678,1778,3.0,12.634146341463415,1.228518928734807,0.3903591961096268,0.259599993946294,6.34061441604576,1.2418690680301034,0.40555289812819545,0.22217194792854755,8.926462700749344,3,3,0
26,1649,1596,-7.0,12.714285714285714,1.2809145181154373,0.36958369763375254,0.22239921460238737,4.380171666583749,1.3237742466760434,0.447846042739713,0.17851772510167066,18.19257925371656,10,10,0
27,1414,1459,1.5,12.710526315789474,1.2051195944002175,0.3755722954868882,0.23609892710567484,4.063921555189942,1.2810675360616914,0.4032477854896315,0.2169055709418176,10.815829085640692,7,6,0
28,1774,1498,-21.0,12.634146341463415,1.2584104289792348,0.4460904043205805,0.18741552221912072,16.73798300926948,1.3278446368634016,0.4867885813311596,0.19227322489429696,22.57941816092468,9,1,0
29,1664,1541,6.5,12.352941176470589,1.2642781690949738,0.41121477523728944,0.24361738237406277,9.609387397091915,1.2503365068068477,0.48076232982546435,0.15801985954555353,20.076752700488754,8,8,0
30,1623,1213,-20.0,13.666666666666666,1.2672520645270138,0.40276513276817216,0.21265467572756525,9.736992288672505,1.3163754102076488,0.43833115262357336,0.21460365719241214,17.26888087842254,1,0,0
31,1508,1328,-3.0,12.428571428571429,1.19010685276579,0.4263297502439011,0.16781547011837228,10.657391493865562,1.1552402235700086,0.4404169907494612,0.18408324061713507,12.727723024988151,8,8,0
32,1365,1239,-6.0,12.935483870967742,1.2487416945725998,0.42920954578596526,0.20734860492192772,12.375343928126217,1.3522339310844003,0.37864742379286115,0.2287731254479158,9.109999462696063,10,10,0
33,1383,1286,-10.0,12.393939393939393,1.1993767785590668,0.3998676627881326,0.21459641815941985,7.113667193229821,1.210967738655127,0.43855528595173565,0.18104233619790455,13.693080044419093,10,6,0
34,1551,1336,-17.0,13.029411764705882,1.267791408464125,0.43702228565728624,0.19351743939040092,15.630305599723428,1.3262301680294262,0.40563851823149055,0.2645684991959172,11.907321483566664,1,1,0
35,1594,901,-28.5,12.5625,1.2483714140156348,0.3866959231208005,0.15431344435205296,7.95728855221331,1.3577784155562904,0.4442206511602806,0.171181959737029,17.573032600989944,5,6,0
36,1545,1167,-17.5,13.216216216216216,1.286934157476436,0.42578583682988486,0.21212610062419157,11.564164641106789,1.3419300845100832,0.44425053070363324,0.19733684468956972,17.41192963815356,1,4,0
37,1731,1354,-26.0,11.853658536585366,1.1762176241840452,0.4416205221574297,0.18335807952740837,10.85568681002424,1.2301635811986547,0.45504812664926864,0.1539874205711844,15.78110389761985,9,6,0
38,1410,1202,-13.0,12.514285714285714,1.2750444052590886,0.44299287190761305,0.20197201909468587,12.739417623232065,1.2981424381278606,0.3941489750560023,0.24382622679184152,7.909743610722109,10,4,0
39,1566,1386,3.0,13.15625,1.2124938452797491,0.42553523387917996,0.20464546778769646,11.447281966656758,1.308835369857206,0.41478983998416524,0.21168062057978004,10.511583529626742,7,7,0
40,1342,1562,3.0,12.35483870967742,1.3025205348786209,0.4056525643687578,0.22537307929639755,10.640515030596458,1.2628293533757982,0.4197155076076924,0.2214813880550676,11.984373146625927,10,10,0
41,1707,1667,-2.0,13.093023255813954,1.2133655814951554,0.3918810744710521,0.24693496606089532,7.382536490327189,1.2641387929612824,0.45614438693412446,0.18741828622700996,16.099663294270048,9,9,1
42,1507,1243,-13.0,12.8,1.3638694229696504,0.3943742639249332,0.21797284983848164,10.277681215060198,1.331558405986181,0.39960393770693015,0.21675888101713534,11.252422501642565,1,10,0
43,1362,1692,7.5,12.804878048780488,1.2968999307520235,0.433322206997499,0.18489842230008646,16.585810094833537,1.175837489653026,0.3578907668735777,0.21005382102239428,2.8572198387022945,3,3,0
44,1567,1263,-30.5,12.418604651162791,1.2817105802053441,0.3825854434835412,0.19166513314050265,6.609139100830473,1.2292797666818807,0.4692923443133892,0.1814720129650709,17.90678520231761,9,7,0
45,1435,1164,-22.0,12.071428571428571,1.156830180042208,0.43705250035481524,0.166768270256597,11.212995732168002,1.204763984516819,0.4109084229784569,0.22140250211908918,7.706479460172674,9,4,0
46,1357,1437,-7.0,12.69767441860465,1.1632681578328434,0.4066097460385642,0.2163409301138226,7.4378308194705545,1.207899464884961,0.3954195336721796,0.20716352730807186,7.8644834507818535,3,6,0
47,1647,971,-38.5,12.447368421052632,1.3369610859135346,0.38931037460606577,0.22860625896467268,10.06029567631633,1.2789876245724143,0.44305452713467786,0.21333675059529844,14.81091676499026,0,5,0
48,1626,1414,-20.0,13.166666666666666,1.2390299424208508,0.4301094746973069,0.2051076264245321,14.119410440967725,1.2486067020477558,0.4223850799222568,0.21043940589975724,11.458130302047083,3,4,0
49,2095,1856,-18.0,12.893617021276595,1.2176733514947948,0.3624705445643877,0.23117970746323277,2.064553888137025,1.2074029288699721,0.5241858910222058,0.14337751451064026,26.604339588361185,3,3,0
50,2165,1426,-40.0,12.729166666666666,1.2858446033097661,0.32719596623269565,0.21985685335943703,-0.9366895981423875,1.2650603775662133,0.5050859979027441,0.16532869400210254,23.75769746894362,9,9,0
51,1048,1708,9.0,12.78125,1.298353667484909,0.46657353693765957,0.18243603489038954,19.61727429675138,1.3627797887298236,0.3970459634556235,0.19930281625435642,11.8704265823956,10,10,0
52,1010,1110,-5.0,13.25,1.2141115525188548,0.4461687874139686,0.18308517942669802,14.079608622568651,1.3415096038330383,0.40855437343175355,0.2015065015280532,12.364941652495615,5,7,0
53,1902,1647,-13.0,12.822222222222223,1.2705527961037395,0.40027494310833944,0.2016159363846939,10.997328688638431,1.3452680024124488,0.5302361840842934,0.19491232715433743,28.490654849170056,2,2,0
54,1513,1403,-16.5,13.64102564102564,1.291387313560754,0.3862266767533598,0.21246559802360346,8.391142325059548,1.343897141650334,0.43036005005333006,0.22083764236554373,16.521964220601642,0,0,0
55,1599,1685,6.5,11.764705882352942,1.2251156108400723,0.4802602604510799,0.1477081005047935,18.63931724425771,1.2113679125408756,0.4286652983754463,0.1824246295329123,12.848807406860857,8,8,0
56,1635,1422,-22.0,12.0,1.1164708196666275,0.4221970095124486,0.2096976758833582,8.4954180946864,1.2338793059115116,0.45285491065159394,0.1734012228921535,15.320318245350814,5,7,0
57,1599,1334,-14.0,11.657894736842104,1.123163895541179,0.40911618894992197,0.18621258471980534,6.119280736077897,1.15848225579752,0.4754144045392189,0.16633619440978145,15.100364857530876,8,8,0
58,1560,1836,14.5,12.685714285714285,1.3060864236932304,0.4091865332468315,0.21203931298605241,11.694653359147424,1.2131658803809142,0.45992383795557024,0.181777116137971,16.1904245384855,8,8,0
59,1338,1439,-7.0,12.071428571428571,1.119675757960666,0.4531598567091985,0.16791838833046388,12.549205471642258,1.251103072743204,0.4149780912581815,0.24513903629641767,9.014737103415927,7,6,0
